source_id	record_id	source_table_index	source_row_index	article_and_id	reviewer_1_record	reviewer_2_record	consensus_working_record
1ziHc8g2isdCeJHOntjYqWhf0Q1EVXu1JC3gVJ0-QpeQ	GEARS-HV-011	0	11	"GEARS-HV-011 | FORMAL VALIDATION
scEMB: Learning context representation of genes based on large-scale single-cell transcriptomics
DOI: 10.1101/2024.09.24.614685
Article page: https://doi.org/10.1101/2024.09.24.614685
Full text 1: https://www.biorxiv.org/content/biorxiv/early/2024/09/26/2024.09.24.614685.full.pdf
"	"Review status: LOCKED
Citation validity: Yes
Method executed: No
Uses (select all): 
Primary use: Mention only
Biological insight: No
Evidence sufficiency: Sufficient
Supporting quote + locator: Moreover, these embedding-based methods11 [Autoencoder12, VAE13–16, GNN17], has been widely used to along with the cellular perturbation tasks along with single-cell CRISPR data, to compress the transcriptomics data (mainly single-cell) into the latent space and compare the effects of different perturbations and possess a more accurate molecular measurement as well as in silico-induced perturbations18,19.
Notes: 
"	"Review status: 
Citation validity: Yes
Method executed: No
Uses (select all): 
Primary use: Mention only
Biological insight: No
Evidence sufficiency: Yes
Supporting quote + locator: ecent advances in artificial intelligence (AI), such as variational autoencoder (VAE) models8–10, which explicitly learn low-dimensional embeddings from single-cell transcriptome to capture the biological meaning embedding. Moreover, these embedding-based methods11 [Autoencoder12, VAE13–16, GNN17],
Notes: 
"	"Comparison flag: MATCH — normalized core fields agree.
Consensus status: 
Citation validity: Yes
Method executed: No
Uses (select all): 
Primary use: Mention only
Biological insight: No
Evidence sufficiency: Sufficient
Supporting quote + locator: 
Resolution note: 
"
1ziHc8g2isdCeJHOntjYqWhf0Q1EVXu1JC3gVJ0-QpeQ	GEARS-HV-012	0	12	"GEARS-HV-012 | FORMAL VALIDATION
Evaluating the Utilities of Large Language Models in Single-cell Data Analysis
DOI: 10.21203/rs.3.rs-3376641/v1
Article page: https://doi.org/10.21203/rs.3.rs-3376641/v1
Full text 1: https://www.researchsquare.com/article/rs-3376641/latest.pdf
"	"Review status: LOCKED
Citation validity: Yes
Method executed: Yes
Uses (select all): 
Primary use: Benchmark
Biological insight: No
Evidence sufficiency: Sufficient
Supporting quote + locator: We considered scGPT and GEARS [42] for this task.
In the training process, we masked the genes under perturbation and tried to recon-
struct the expression levels of all the genes of the input cells rather than only the
masked genes.
Notes: 
"	"Review status: 
Citation validity: Yes
Method executed: Yes
Uses (select all): 
Primary use: Benchmark
Biological insight: No
Evidence sufficiency: Yes
Supporting quote + locator: We considered scGPT and GEARS [
42
] for this task.


In the training process, we masked the genes under perturbation and tried to recon-


struct the expression levels of all the genes of the input cells rather than only the


masked genes. We used Mean Pearson Correlation (MPC) as the metric to evaluate


the performance of scGPT under different hyper-parameters or initial settings, and


details can be found in Appendix
C
. T
Notes: 
"	"Comparison flag: MATCH — normalized core fields agree.
Consensus status: 
Citation validity: Yes
Method executed: Yes
Uses (select all): 
Primary use: Benchmark
Biological insight: No
Evidence sufficiency: Sufficient
Supporting quote + locator: 
Resolution note: 
"
1ziHc8g2isdCeJHOntjYqWhf0Q1EVXu1JC3gVJ0-QpeQ	GEARS-HV-013	0	13	"GEARS-HV-013 | FORMAL VALIDATION
A systematic comparison of computational methods for expression forecasting
DOI: 10.1101/2023.07.28.551039
Article page: https://doi.org/10.1101/2023.07.28.551039
Full text 1: https://www.biorxiv.org/content/biorxiv/early/2023/07/31/2023.07.28.551039.full.pdf
"	"Review status: LOCKED
Citation validity: Yes
Method executed: Yes
Uses (select all): 
Primary use: Benchmark
Biological insight: No
Evidence sufficiency: Sufficient
Supporting quote + locator: We included all methods with peer-reviewed paper and code available as of Sept 1, 2023, which were DCD-FG, GEARS, and GeneFormer (Lopez et al., 2022; Roohani et al., 2022; Theodoris et al., 2023).
Notes: 
"	"Review status: 
Citation validity: Yes
Method executed: Yes
Uses (select all): 
Primary use: Benchmark
Biological insight: No
Evidence sufficiency: Yes
Supporting quote + locator: For adamson, dixit, and norman, we eschew these filters and instead use preprocessing identical to the GEARS evaluations (Roohani et al., 2024).
Notes: 
"	"Comparison flag: MATCH — normalized core fields agree.
Consensus status: 
Citation validity: Yes
Method executed: Yes
Uses (select all): 
Primary use: Benchmark
Biological insight: No
Evidence sufficiency: Sufficient
Supporting quote + locator: 
Resolution note: 
"
1ziHc8g2isdCeJHOntjYqWhf0Q1EVXu1JC3gVJ0-QpeQ	GEARS-HV-014	0	14	"GEARS-HV-014 | FORMAL VALIDATION
scMomer: A modality-aware pretraining framework for single-cell multi-omics modeling under missing modality conditions
DOI: 10.1101/2025.08.04.668374
Article page: https://doi.org/10.1101/2025.08.04.668374
Full text 1: https://www.biorxiv.org/content/biorxiv/early/2025/08/05/2025.08.04.668374.full.pdf
"	"Review status: LOCKED
Citation validity: Yes
Method executed: Yes
Uses (select all): 
Primary use: Benchmark
Biological insight: No
Evidence sufficiency: Sufficient
Supporting quote + locator: Following the setup used in CellFM and scFoundation, we integrated gene embeddings from scMomer into the GEARS13 for downstream prediction (Supplementary Fig. 11).
Notes: 
"	"Review status: 
Citation validity: Yes
Method executed: Yes
Uses (select all): 
Primary use: Benchmark
Biological insight: No
Evidence sufficiency: Yes
Supporting quote + locator: Results showed that scMomer outperformed GEARS, achieving improvements of 0.034 in PCC (Supplementary Table 5).
Notes: 
"	"Comparison flag: MATCH — normalized core fields agree.
Consensus status: 
Citation validity: Yes
Method executed: Yes
Uses (select all): 
Primary use: Benchmark
Biological insight: No
Evidence sufficiency: Sufficient
Supporting quote + locator: 
Resolution note: 
"
1ziHc8g2isdCeJHOntjYqWhf0Q1EVXu1JC3gVJ0-QpeQ	GEARS-HV-015	0	15	"GEARS-HV-015 | FORMAL VALIDATION
MultiPert: An adversarial alignment and dual attention framework for single-cell multi-omics perturbation prediction
DOI: 10.1371/journal.pcbi.1014054
Article page: https://doi.org/10.1371/journal.pcbi.1014054
Full text 1: https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.1014054&type=printable
"	"Review status: LOCKED
Citation validity: Yes
Method executed: Yes
Uses (select all): 
Primary use: Extend
Biological insight: No
Evidence sufficiency: Sufficient
Supporting quote + locator: Given GEARS’ prior validation of GO knowledge graph for perturbation prediction, we directly adopted their pre-trained embeddings to initialize MultiPert’s perturbation representations [16].
Notes: 
"	"Review status: 
Citation validity: Yes
Method executed: Yes
Uses (select all): 
Primary use: Extend or develop
Biological insight: No
Evidence sufficiency: Yes
Supporting quote + locator: . Given GEARS’ prior validation of GO knowledge graph for perturbation prediction, we directly adopted their pre-trained embeddings to initialize MultiPert’s perturbation representations [16].
Notes: 
"	"Comparison flag: MATCH — terminology normalization needed (“Extend” → “Extend or develop”).
Consensus status: 
Citation validity: Yes
Method executed: Yes
Uses (select all): 
Primary use: Extend or develop
Biological insight: No
Evidence sufficiency: Sufficient
Supporting quote + locator: 
Resolution note: 
"
1ziHc8g2isdCeJHOntjYqWhf0Q1EVXu1JC3gVJ0-QpeQ	GEARS-HV-016	0	16	"GEARS-HV-016 | FORMAL VALIDATION
Systema: a framework for evaluating genetic perturbation response prediction beyond systematic variation
DOI: 10.1038/s41587-025-02777-8
Article page: https://doi.org/10.1038/s41587-025-02777-8
Full text 1: https://www.nature.com/articles/s41587-025-02777-8.pdf
"	"Review status: LOCKED
Citation validity: Yes
Method executed: Yes
Uses (select all): 
Primary use: Benchmark
Biological insight: No
Evidence sufficiency: Sufficient
Supporting quote + locator: We considered three state-of-the-art perturbation response prediction methods: compositional perturbation autoencoder (CPA)10, GEARS1 and scGPT2 (Methods).
Notes: 
"	"Review status: 
Citation validity: Yes
Method executed: Yes
Uses (select all): 
Primary use: Benchmark
Biological insight: No
Evidence sufficiency: Yes
Supporting quote + locator: We next evaluated performance on the task of predicting transcriptional responses to two-gene perturbations in the Norman14 dataset, the only dataset with combinatorial perturbations in our benchmark. For unseen two-gene perturbations (two-gene perturbations where none of the individual perturbations was observed at train time), the matching mean baseline outperformed all other baselines by a considerable margin, with relative improvements of 11% for PearsonΔ over the best alternative method (GEARS; Fig. 1d).
Notes: 
"	"Comparison flag: MATCH — normalized core fields agree.
Consensus status: 
Citation validity: Yes
Method executed: Yes
Uses (select all): 
Primary use: Benchmark
Biological insight: No
Evidence sufficiency: Sufficient
Supporting quote + locator: 
Resolution note: 
"
1ziHc8g2isdCeJHOntjYqWhf0Q1EVXu1JC3gVJ0-QpeQ	GEARS-HV-017	0	17	"GEARS-HV-017 | FORMAL VALIDATION
A General Single-Cell Analysis Framework via Conditional Diffusion Generative Models
DOI: 10.1101/2023.10.13.562243
Article page: https://doi.org/10.1101/2023.10.13.562243
Full text 1: https://www.biorxiv.org/content/biorxiv/early/2023/10/17/2023.10.13.562243.full.pdf
"	"Review status: LOCKED
Citation validity: Yes
Method executed: Yes
Uses (select all): 
Primary use: Extend/Benchmark
Biological insight: No
Evidence sufficiency: Sufficient
Supporting quote + locator: Under such zero-shot setting, we incorporate biological prior for the unseen genes by adapting the gene ontology-based graph neural network from GEARS, as detailed in Section 2.2
Notes: 
"	"Review status: 
Citation validity: Yes
Method executed: Yes
Uses (select all): 
Primary use: Benchmark
Biological insight: No
Evidence sufficiency: Yes
Supporting quote + locator: We used the official GEARS code base3 to reproduce the performance on the three benchmarking datasets. We need to rerun the experiments because the data splits used from the original paper were not published. Thus, directly comparing our results with the reported metrics from the GEARS paper is infeasible.
Notes: 
"	"Comparison flag: RESOLVED — human adjudication selected Benchmark.
Consensus status: RECONCILED
Citation validity: Yes
Method executed: Yes
Uses (select all): Benchmark
Primary use: Benchmark
Biological insight: No
Evidence sufficiency: Sufficient
Supporting quote + locator: We used the official GEARS code base to reproduce the performance on the three benchmarking datasets.
Resolution note: Human adjudication confirmed Benchmark as the primary use.

"
1ziHc8g2isdCeJHOntjYqWhf0Q1EVXu1JC3gVJ0-QpeQ	GEARS-HV-018	0	18	"GEARS-HV-018 | FORMAL VALIDATION
xTrimoGene: An Efficient and Scalable Representation Learner for Single-Cell RNA-Seq Data
DOI: 10.1101/2023.03.24.534055
Article page: https://doi.org/10.1101/2023.03.24.534055
Full text 1: https://www.biorxiv.org/content/biorxiv/early/2023/03/25/2023.03.24.534055.full.pdf
"	"Review status: LOCKED
Citation validity: Yes
Method executed: Yes
Uses (select all): 
Primary use: Extend/Benchmark
Biological insight: No
Evidence sufficiency: Sufficient
Supporting quote + locator: While utilizing xTrimoGene, the normal state (before perturbation) gene expression profile is fed into xTrimoGene and we obtained the context embedding, which replaces raw expression value input in GEARS model (refer to Appendix 7.4 for detailed description).
Notes: 
"	"Review status: 
Citation validity: Yes
Method executed: Yes
Uses (select all): 
Primary use: Benchmark
Biological insight: No
Evidence sufficiency: Yes
Supporting quote + locator: We compared the native GEARS model with and without incorporating embeddings from xTrimoGene.
Notes: 
"	"Comparison flag: RESOLVED — human adjudication selected Benchmark.
Consensus status: RECONCILED
Citation validity: Yes
Method executed: Yes
Uses (select all): Benchmark
Primary use: Benchmark
Biological insight: No
Evidence sufficiency: Sufficient
Supporting quote + locator: We compared the native GEARS model with and without incorporating embeddings from xTrimoGene.
Resolution note: Human adjudication confirmed Benchmark as the primary use.

"
1ziHc8g2isdCeJHOntjYqWhf0Q1EVXu1JC3gVJ0-QpeQ	GEARS-HV-019	0	19	"GEARS-HV-019 | FORMAL VALIDATION
Knowledge-augmented Graph Machine Learning for Drug Discovery: A Survey
DOI: 10.1145/3744237
Article page: https://doi.org/10.1145/3744237
Full text 1: https://pure.au.dk/ws/files/469052743/Knowledge-augmented_Graph_Machine_Learning_for_Drug_Discovery.pdf
"	"Review status: LOCKED
Citation validity: Yes
Method executed: No
Uses (select all): 
Primary use: Mention only
Biological insight: No
Evidence sufficiency: Sufficient
Supporting quote + locator: GEARS [164]        Nat. Biotechnol        2024        PredMol        ✓
Notes: 
"	"Review status: 
Citation validity: Yes
Method executed: No
Uses (select all): 
Primary use: Mention only
Biological insight: No
Evidence sufficiency: Yes
Supporting quote + locator: Mentioned in table
Notes: 
"	"Comparison flag: MATCH — normalized core fields agree.
Consensus status: 
Citation validity: Yes
Method executed: No
Uses (select all): 
Primary use: Mention only
Biological insight: No
Evidence sufficiency: Sufficient
Supporting quote + locator: 
Resolution note: 
"
1ziHc8g2isdCeJHOntjYqWhf0Q1EVXu1JC3gVJ0-QpeQ	GEARS-HV-020	0	20	"GEARS-HV-020 | FORMAL VALIDATION
Fluctuation structure predicts genome-wide perturbation outcomes
DOI: 10.1101/2025.06.27.661814
Article page: https://doi.org/10.1101/2025.06.27.661814
Full text 1: https://www.biorxiv.org/content/biorxiv/early/2025/07/01/2025.06.27.661814.full.pdf
"	"Review status: LOCKED
Citation validity: Yes
Method executed: No
Uses (select all): 
Primary use: Benchmark
Biological insight: No
Evidence sufficiency: Sufficient
Supporting quote + locator: At the same time, traditional linear regression models have some limitations: they typically treat genes as independent, cannot explicitly identify the genes driving the response (or the degree of impact per driver gene), and, with the exception of TRADE16, produce only point estimates of the regression coefficients and are not uncertainty-aware. Predictive models such as scGen20, GEARS21, and scGPT22, on the other hand, employ deep learning frameworks to model perturbation responses in latent spaces and can predict outcomes of unseen perturbations.
Notes: 
"	"Review status: 
Citation validity: Yes
Method executed: Yes
Uses (select all): 
Primary use: Benchmark
Biological insight: No
Evidence sufficiency: Yes
Supporting quote + locator: We benchmarked against five recent approaches spanning distinct methodological classes—GenePert51, scLAMBDA21, Scouter52, scGPT20, and GEARS53—as well as a linear mean baseline, motivated by recent concerns that simple linear models can match far more complex architectures on this task54. T
Notes: 
"	"Comparison flag: RECONCILE — differences: Method executed (No vs Yes)
Consensus status: 
Citation validity: Yes
Method executed: 
Uses (select all): 
Primary use: Benchmark
Biological insight: No
Evidence sufficiency: Sufficient
Supporting quote + locator: 
Resolution note: 
"
